Date,IVV,BND,MO,JNJ,AWK,CB
2021-05-10,,,,,0.603,
2021-05-03,,0.131,,,,
2021-04-01,,0.192,,,,
2021-03-25,1.311,,,,,
2021-03-24,,,0.86,,,
2021-03-18,,,,,,0.78
2021-03-01,,0.129,,,,
2021-02-22,,,,1.01,,
2021-02-05,,,,,0.55,
2021-02-01,,0.139,,,,
2020-12-24,,,0.86,,,
2020-12-23,,0.291,,,,
2020-12-17,,,,,,0.78
2020-12-14,1.61,,,,,
2020-12-01,,0.143,,,,
2020-11-23,,,,1.01,,
2020-11-09,,,,,0.55,
2020-11-02,,0.151,,,,
2020-10-01,,0.15,,,,
2020-09-23,1.506,,,,,
2020-09-17,,,,,,0.78
2020-09-14,,,0.86,,,
2020-09-01,,0.153,,,,
2020-08-24,,,,1.01,,
2020-08-11,,,,,0.55,
2020-08-03,,0.159,,,,
2020-07-01,,0.162,,,,
2020-06-18,,,,,,0.78
2020-06-15,1.261,,,,,
2020-06-12,,,0.84,,,
2020-06-01,,0.169,,,,
2020-05-22,,,,1.01,,
2020-05-11,,,,,0.55,
2020-05-01,,0.174,,,,
2020-04-01,,0.19,,,,
2020-03-25,1.531,,,,,
2020-03-24,,,0.84,,,
2020-03-19,,,,,,0.75
2020-03-02,,0.173,,,,
2020-02-24,,,,0.95,,
2020-02-06,,,,,0.5,
2020-02-03,,0.183,,,,
2019-12-24,,,0.84,,,
2019-12-23,,0.187,,,,
2019-12-19,,,,,,0.75
2019-12-16,2.039,,,,,
2019-12-02,,0.18,,,,
2019-11-25,,,,0.95,,
2019-11-08,,,,,0.5,
2019-11-01,,0.185,,,,
2019-10-01,,0.182,,,,
2019-09-24,1.483,,,,,
2019-09-19,,,,,,0.75
2019-09-13,,,0.84,,,
2019-09-03,,0.188,,,,
2019-08-26,,,,0.95,,
2019-08-08,,,,,0.5,
2019-08-01,,0.193,,,,
2019-07-01,,0.194,,,,
2019-06-20,,,,,,0.75
2019-06-17,1.778,,,,,
2019-06-13,,,0.8,,,
2019-06-03,,0.193,,,,
2019-05-24,,,,0.95,,
2019-05-10,,,,,0.5,
2019-05-01,,0.195,,,,
2019-04-01,,0.2,,,,
2019-03-22,,,0.8,,,
2019-03-21,,,,,,0.73
2019-03-20,1.13,,,,,
2019-03-01,,0.184,,,,
2019-02-25,,,,0.9,,
2019-02-06,,,,,0.455,
2019-02-01,,0.198,,,,
2018-12-28,0.322,,,,,
2018-12-24,,0.198,0.8,,,
2018-12-20,,,,,,0.73
2018-12-17,1.442,,,,,
2018-12-03,,0.192,,,,
2018-11-26,,,,0.9,,
2018-11-08,,,,,0.455,
2018-11-01,,0.194,,,,
2018-10-01,,0.183,,,,
2018-09-26,1.277,,,,,
2018-09-20,,,,,,0.73
2018-09-13,,,0.8,,,
2018-09-04,,0.188,,,,
2018-08-27,,,,0.9,,
2018-08-09,,,,,0.455,
2018-08-01,,0.187,,,,
2018-07-02,,0.181,,,,
2018-06-26,1.281,,,,,
2018-06-21,,,,,,0.73
2018-06-14,,,0.7,,,
2018-06-01,,0.369,,,,
2018-05-25,,,,0.9,,
2018-05-10,,,,,0.455,
2018-05-01,,0.178,,,,
2018-04-02,,0.2,,,,
2018-03-28,,,,,,0.71
2018-03-22,1.229,,,,,
2018-03-14,,,0.7,,,
2018-03-01,,0.165,,,,
2018-02-26,,,,0.84,,
2018-02-06,,,,,0.415,
2018-02-01,,0.177,,,,
2017-12-28,,,,,,0.71
2017-12-26,,0.211,,,,
2017-12-20,,,0.66,,,
2017-12-19,1.273,,,,,
2017-12-01,,0.168,,,,
2017-11-27,,,,0.84,,
2017-11-09,,,,,0.415,
2017-11-01,,0.173,,,,
2017-10-02,,0.168,,,,
2017-09-28,,,,,,0.71
2017-09-26,1.284,,,,,
2017-09-14,,,0.66,,,
2017-09-01,,0.174,,,,
2017-08-25,,,,0.84,,
2017-08-07,,,,,0.415,
2017-08-01,,0.342,,,,
2017-07-03,,0.339,,,,
2017-06-28,,,,,,0.71
2017-06-27,1.117,,,,,
2017-06-13,,,0.61,,,
2017-06-01,,0.172,,,,
2017-05-25,,,,0.84,,
2017-05-03,,,,,0.415,
2017-05-01,,0.168,,,,
2017-04-03,,0.174,,,,
2017-03-29,,,,,,0.69
2017-03-24,1.032,,,,,
2017-03-13,,,0.61,,,
2017-03-01,,0.158,,,,
2017-02-24,,,,0.8,,
2017-02-03,,,,,0.375,
2017-02-01,,0.168,,,,
2016-12-28,,,,,,0.69
2016-12-22,,0.205,,,,
2016-12-21,1.304,,,,,
2016-12-20,,,0.61,,,
2016-12-01,,0.16,,,,
2016-11-18,,,,0.8,,
2016-11-07,,,,,0.375,
2016-11-01,,0.163,,,,
2016-10-03,,0.161,,,,
2016-09-28,,,,,,0.69
2016-09-26,1.103,,,,,
2016-09-13,,,0.61,,,
2016-09-01,,0.166,,,,
2016-08-19,,,,0.8,,
2016-08-04,,,,,0.375,
2016-08-01,,0.165,,,,
2016-07-01,,0.164,,,,
2016-06-28,,,,,,0.69
2016-06-21,0.998,,,,,
2016-06-13,,,0.565,,,
2016-06-01,,0.169,,,,
2016-05-20,,,,0.8,,
2016-05-05,,,,,0.375,
2016-05-02,,0.164,,,,
2016-04-01,,0.173,,,,
2016-03-29,,,,,,0.67
2016-03-11,,,0.565,,,
2016-03-01,,0.165,,,,
2016-02-19,,,,0.75,,
2016-02-04,,,,,0.34,
2016-02-01,,0.174,,,,
2015-12-29,0.19,,,,,0.67
2015-12-24,1.187,,,,,
2015-12-23,,0.23,,,,
2015-12-22,,,0.565,,,
2015-12-01,,0.167,,,,
2015-11-20,,,,0.75,,
2015-11-05,,,,,0.34,
2015-11-02,,0.169,,,,
2015-10-01,,0.164,,,,
2015-09-28,,,,,,0.67
2015-09-25,1.082,,,,,
2015-09-11,,,0.565,,,
2015-09-01,,0.168,,,,
2015-08-21,,,,0.75,,
2015-08-06,,,,,0.34,
2015-08-03,,0.169,,,,
2015-07-01,,0.163,,,,
2015-06-26,,,,,,0.67
2015-06-24,1.181,,,,,
2015-06-11,,,0.52,,,
2015-06-01,,0.166,,,,
2015-05-21,,,,0.75,,
2015-05-07,,,,,0.34,
2015-05-01,,0.159,,,,
2015-04-01,,0.191,,,,
2015-03-27,,,,,,0.65
2015-03-25,1.002,,,,,
2015-03-12,,,0.52,,,
2015-03-02,,0.162,,,,
2015-02-20,,,,0.7,,
2015-02-05,,,,,0.31,
2015-02-02,,0.17,,,,
2014-12-24,1.103,,,,,
2014-12-23,,0.381,,,,
2014-12-22,,,0.52,,,
2014-12-15,,,,,,0.65
2014-12-01,,0.166,,,,
2014-11-21,,,,0.7,,
2014-11-06,,,,,0.31,
2014-11-03,,0.173,,,,
2014-10-01,,0.161,,,,
2014-09-26,,,,,,0.65
2014-09-24,0.934,,,,,
2014-09-11,,,0.52,,,
2014-09-02,,0.179,,,,
2014-08-22,,,,0.7,,
2014-08-07,,,,,0.31,
2014-08-01,,0.172,,,,
2014-07-21,,,,,,0.65
2014-07-01,,0.172,,,,
2014-06-24,0.915,,,,,
2014-06-12,,,0.48,,,
2014-06-02,,0.179,,,,
2014-05-22,,,,0.7,,
2014-05-08,,,,,0.31,
2014-05-01,,0.178,,,,
2014-04-01,,0.19,,,,
2014-03-26,,,,,,0.63
2014-03-25,0.831,,,,,
2014-03-12,,,0.48,,,
2014-03-03,,0.172,,,,
2014-02-21,,,,0.66,,
2014-02-03,,0.171,,,,
2014-01-30,,,,,0.28,
2014-01-13,,,,,,0.63
